id,en,ja,pos,theme,level,is_frequent
1,casual,カジュアルな,adjective,adj_quality,eiken2,1
2,educational,教育的な,adjective,adj_quality,eiken2,1
3,transport,〜を輸送する,verb,action,eiken2,1
4,attach,～を添付する,verb,action,eiken2,1
5,law,法律,noun,abstract,eiken2,1
6,source,源,noun,abstract,eiken2,1
7,variety,種類,noun,abstract,eiken2,1
8,avoid,～を避ける,verb,action,eiken2,1
9,spin,回る,verb,action,eiken2,1
10,vitamin,ビタミン,noun,body,eiken2,1
11,effective,効果的な,adjective,adj_quality,eiken2,1
12,though,〜だけれども,conjunction,conjunction,eiken2,1
13,charge,〜を課す,verb,action,eiken2,1
14,examine,～を検査する,verb,action,eiken2,1
15,transfer,〜を転送する,verb,action,eiken2,1
16,dinosaur,恐竜,noun,animal,eiken2,1
17,economy,経済,noun,abstract,eiken2,1
18,focus,焦点,noun,abstract,eiken2,1
19,invention,発明,noun,abstract,eiken2,1
20,vehicle,乗り物,noun,transport,eiken2,1
21,classic,名作,noun,media,eiken2,1
22,despite,〜にもかかわらず,preposition,preposition,eiken2,1
23,preserve,〜を保護する,verb,action,eiken2,1
24,solution,解決,noun,abstract,eiken2,1
25,economic,経済の,adjective,adj_quality,eiken2,1
26,resident,居住者,noun,people,eiken2,1
27,poison,毒,noun,nature,eiken2,1
28,trail,小道,noun,place,eiken2,1
29,attractive,魅力的な,adjective,adj_quality,eiken2,1
30,creature,生き物,noun,animal,eiken2,1
31,payment,支払い,noun,abstract,eiken2,1
32,account,口座,noun,abstract,eiken2,1
33,demand,需要,noun,abstract,eiken2,1
34,growth,成長,noun,abstract,eiken2,1
35,staff,従業員,noun,people,eiken2,1
36,afford,余裕がある,verb,action,eiken2,1
37,consume,〜を消費する,verb,action,eiken2,1
38,device,装置,noun,tech,eiken2,1
39,inform,～に通知する,verb,action,eiken2,1
40,retirement,退職,noun,time,eiken2,1
41,brain,頭脳,noun,body,eiken2,1
42,development,開発,noun,abstract,eiken2,1
43,adopt,～を採用する,verb,action,eiken2,1
44,frequent,頻繁な,adjective,adj_quality,eiken2,1
45,skin,肌,noun,body,eiken2,1
46,stress,ストレス,noun,abstract,eiken2,1
47,artificial,人工の,adjective,adj_quality,eiken2,1
48,client,顧客,noun,people,eiken2,1
49,participant,参加者,noun,people,eiken2,1
50,society,社会,noun,abstract,eiken2,1
51,consumer,消費者,noun,people,eiken2,1
52,flow,流れる,verb,action,eiken2,1
53,actual,実際の,adjective,adj_quality,eiken2,1
54,decade,１０年間,noun,time,eiken2,1
55,slum,スラム街,noun,place,eiken2,1
56,bury,〜を埋める,verb,action,eiken2,1
57,evidence,証拠,noun,abstract,eiken2,1
58,income,収入,noun,abstract,eiken2,1
59,progress,進歩する,verb,action,eiken2,1
60,panel,パネル,noun,tech,eiken2,1
61,represent,〜を代表する,verb,action,eiken2,1
62,accurate,正確な,adjective,adj_quality,eiken2,1
63,credit card,クレジットカード,noun,abstract,eiken2,1
64,promotion,昇進,noun,abstract,eiken2,1
65,scan,～をスキャンする,verb,action,eiken2,1
66,aim,狙い,noun,abstract,eiken2,1
67,construction,建設,noun,abstract,eiken2,1
68,delivery,配達,noun,abstract,eiken2,1
69,real-estate,不動産,noun,abstract,eiken2,1
70,locally,地元で,adverb,adverb,eiken2,1
71,pattern,柄,noun,abstract,eiken2,1
72,migrate,渡る,verb,action,eiken2,1
73,react,反応する,verb,action,eiken2,1
74,vaccine,ワクチン,noun,abstract,eiken2,1
75,current,現在の,adjective,adj_quality,eiken2,1
76,overtime,時間外に,adverb,time,eiken2,1
77,physical,身体的な,adjective,adj_quality,eiken2,1
78,valley,谷,noun,place,eiken2,1
79,calculate,～を計算する,verb,action,eiken2,1
80,furthermore,その上,adverb,adverb_phrase,eiken2,1
81,layer,層,noun,nature,eiken2,1
82,occur,起こる,verb,action,eiken2,1
83,agent,仲介者,noun,abstract,eiken2,1
84,healthcare,医療,noun,abstract,eiken2,1
85,mainly,主に,adverb,adverb,eiken2,1
86,blood,血,noun,body,eiken2,1
87,digest,消化する,verb,action,eiken2,1
88,destination,目的地,noun,transport,eiken2,1
89,evolve,進化する,verb,action,eiken2,1
90,edit,～を編集する,verb,action,eiken2,1
91,facility,施設,noun,place,eiken2,1
92,roommate,ルームメート,noun,people,eiken2,1
93,contract,契約,noun,abstract,eiken2,1
94,efficiently,効率的に,adverb,adverb,eiken2,1
95,death,死,noun,abstract,eiken2,1
96,ingredient,材料,noun,food,eiken2,1
97,range,範囲,noun,unit,eiken2,1
98,bone,骨,noun,body,eiken2,1
99,differently,異なって,adverb,adverb,eiken2,1
100,dramatically,劇的に,adverb,adverb,eiken2,1
101,renew,〜を更新する,verb,action,eiken2,1
102,organ,臓器,noun,body,eiken2,1
103,term,期間,noun,time,eiken2,1
104,code,暗号,noun,tech,eiken2,1
105,region,地域,noun,abstract,eiken2,1
106,update,更新する,verb,action,eiken2,1
107,determine,〜を決定する,verb,action,eiken2,1
108,adapt,〜に適応する,verb,action,eiken2,1
109,handwriting,字,noun,abstract,eiken2,1
110,whether,～かどうか,conjunction,conjunction,eiken2,1
111,pamphlet,パンフレット,noun,media,eiken2,1
112,means,手段,noun,abstract,eiken2,1
113,password,パスワード,noun,abstract,eiken2,1
114,poisonous,有毒な,adjective,adj_quality,eiken2,1
115,click,クリックする,verb,action,eiken2,1
116,label,ラベル,noun,object,eiken2,1
117,programmer,プログラマー,noun,occupation,eiken2,1
118,respond,答える,verb,action,eiken2,1
119,banking,銀行業,noun,abstract,eiken2,1
120,lamp,ランプ,noun,object,eiken2,1
121,period,期間,noun,time,eiken2,1
122,shark,サメ,noun,animal,eiken2,1
123,due,締め切りだ,adjective,adj_quality,eiken2,1
124,meanwhile,その間,adverb,time,eiken2,1
125,vegetarian,ベジタリアン,noun,food,eiken2,1
126,refund,～を払い戻す,verb,action,eiken2,1
127,pressure,圧力,noun,abstract,eiken2,1
128,register,登録する,verb,action,eiken2,1
129,surgery,手術,noun,body,eiken2,1
130,publisher,出版社,noun,abstract,eiken2,1
131,analyze,～を分析する,verb,action,eiken2,1
132,conclusion,結論,noun,abstract,eiken2,1
133,high-quality,高品質の,adjective,adj_quality,eiken2,1
134,supplement,サプリメント,noun,food,eiken2,1
135,combination,組み合わせ,noun,abstract,eiken2,1
136,efficient,能率的な,adjective,adj_quality,eiken2,1
137,bubble,泡,noun,object,eiken2,1
138,entirely,完全に,adverb,adverb,eiken2,1
139,childcare,育児,noun,abstract,eiken2,1
140,expectation,予想,noun,abstract,eiken2,1
141,healthily,健康的に,adverb,adverb,eiken2,1
142,mental,精神的な,adjective,adj_quality,eiken2,1
143,cultural,文化的な,adjective,adj_quality,eiken2,1
144,expense,費用,noun,abstract,eiken2,1
145,impact,影響,noun,abstract,eiken2,1
146,adjust,〜を調整する,verb,action,eiken2,1
147,manufacturer,製造業者,noun,occupation,eiken2,1
148,reset,～を再設定する,verb,action,eiken2,1
149,associate,〜を結び付けて考える,verb,action,eiken2,1
150,rob,～から奪う,verb,action,eiken2,1
151,breath,息,noun,body,eiken2,1
152,consist,成り立っている,verb,action,eiken2,1
153,requirement,必要条件,noun,abstract,eiken2,1
154,threat,脅威,noun,abstract,eiken2,1
155,constant,一定の,adjective,adj_quality,eiken2,1
156,standard,基準,noun,abstract,eiken2,1
157,steel,鋼鉄,noun,nature,eiken2,1
158,satisfy,～を満たす,verb,action,eiken2,1
159,calculation,計算,noun,tech,eiken2,1
160,upgrade,質を高める,verb,action,eiken2,1
161,error,誤り,noun,abstract,eiken2,1
162,flexibility,柔軟性,noun,abstract,eiken2,1
163,league,リーグ,noun,sports,eiken2,1
164,struggle,奮闘する,verb,action,eiken2,1
165,campaign,キャンペーン,noun,event,eiken2,1
166,flood,〜を水浸しにする,verb,action,eiken2,1
167,gender,性別,noun,abstract,eiken2,1
168,powder,粉,noun,food,eiken2,1
169,emphasize,～を強調する,verb,action,eiken2,1
170,fossil,化石,noun,nature,eiken2,1
171,historic,歴史的に重要な,adjective,adj_quality,eiken2,1
172,poverty,貧困,noun,abstract,eiken2,1
173,board,委員会,noun,object,eiken2,1
174,insurance,保険,noun,abstract,eiken2,1
175,obtain,～を得る,verb,action,eiken2,1
176,satellite,衛星,noun,nature,eiken2,1
177,assignment,課題,noun,abstract,eiken2,1
178,long-term,長期的な,adjective,adj_quality,eiken2,1
179,flexible,融通の利く,adjective,adj_quality,eiken2,1
180,individual,個々の,adjective,adj_quality,eiken2,1
181,insert,〜を差し込む,verb,action,eiken2,1
182,motivate,～にやる気を起こさせる,verb,mind,eiken2,1
183,household,世帯,noun,home,eiken2,1
184,aspect,局面,noun,abstract,eiken2,1
185,anxiety,不安,noun,abstract,eiken2,1
186,strengthen,〜を強くする,verb,action,eiken2,1
187,sort,～を分類する,verb,action,eiken2,1
188,structure,構造,noun,abstract,eiken2,1
189,container,容器,noun,home,eiken2,1
190,qualify,～に資格を与える,verb,action,eiken2,1
191,tourism,観光業,noun,abstract,eiken2,1
192,entry,項目,noun,abstract,eiken2,1
193,content,中身,noun,abstract,eiken2,1
194,fund,資金,noun,abstract,eiken2,1
195,convert,～を転用する,verb,creation,eiken2,1
196,instinct,本能,noun,abstract,eiken2,1
197,mineral,鉱物,noun,nature,eiken2,1
198,council,市議会,noun,abstract,eiken2,1
199,laboratory,研究室,noun,place,eiken2,1
