id,en,ja,pos,theme,level,is_frequent
1,be able to,〜できる,verb,grammar,eiken4,0
2,be careful,気を付ける,verb,grammar,eiken4,0
3,be going to,～するつもりだ,verb,grammar,eiken4,0
4,be late for,～に遅れる,verb,grammar,eiken4,0
5,could,～することができた,verb,grammar,eiken4,1
6,enjoy doing,〜するのを楽しむ,verb,grammar,eiken4,0
7,finish doing,〜し終える,verb,grammar,eiken4,0
8,have to,〜しなければならない,verb,grammar,eiken4,1
9,may,～してもよい,verb,grammar,eiken4,1
10,must,～しなければならない,verb,grammar,eiken4,1
11,need to,〜する必要がある,verb,grammar,eiken4,0
12,shall,〜しましょうか,verb,grammar,eiken4,0
13,should,〜すべきだ,verb,grammar,eiken4,1
14,start doing,～し始める,verb,grammar,eiken4,0
15,stop doing,～することをやめる,verb,grammar,eiken4,0
16,try to,～しようとする,verb,grammar,eiken4,0
17,want to,～したい,verb,grammar,eiken4,0
18,want to be,〜になりたいと思う,verb,grammar,eiken4,0
19,want to do,〜したい,verb,grammar,eiken4,0
20,will,だろう,verb,grammar,eiken4,1
21,would,〜だろう,verb,grammar,eiken4,1
22,attack,攻撃する,verb,action,eiken4,0
23,bake,焼く,verb,action,eiken4,0
24,become,～になる,verb,action,eiken4,1
25,borrow,借りる,verb,action,eiken4,1
26,break,～を壊す,verb,action,eiken4,1
27,bring,〜を持ってくる,verb,action,eiken4,1
28,carry,～を運ぶ,verb,action,eiken4,0
29,catch,～をつかまえる,verb,action,eiken4,1
30,catch a cold,風邪を引く,verb,action,eiken4,0
31,change,～を変える,verb,action,eiken4,1
32,check,～をチェックする,verb,action,eiken4,0
33,collect,集める,verb,action,eiken4,0
34,draw,引く,verb,action,eiken4,0
35,drive,～を運転する,verb,action,eiken4,1
36,enter,～に入る,verb,action,eiken4,0
37,finish,～を終える,verb,action,eiken4,1
38,give up,あきらめる,verb,action,eiken4,0
39,grow,育てる,verb,action,eiken4,0
40,happen,起こる,verb,action,eiken4,0
41,have a fever,熱がある,verb,action,eiken4,0
42,have a sale,セールを行う,verb,action,eiken4,0
43,have a test,テストを受ける,verb,action,eiken4,0
44,invite,～を招待する,verb,action,eiken4,1
45,join,加わる,verb,action,eiken4,1
46,learn,学ぶ,verb,action,eiken4,0
47,look like,～に似ている,verb,action,eiken4,0
48,lose,～をなくす,verb,action,eiken4,1
49,miss,～を逃す,verb,action,eiken4,0
50,order,〜を注文する,verb,action,eiken4,1
51,pick,つむ,verb,action,eiken4,0
52,play catch,キャッチボールをする,verb,action,eiken4,0
53,put on,〜身に着ける,verb,action,eiken4,0
54,receive,受け取る,verb,action,eiken4,0
55,relax,（緊張などを）和らげる,verb,action,eiken4,0
56,sell,〜を売る,verb,action,eiken4,1
57,send,〜を送る,verb,action,eiken4,0
58,share,〜を共有する,verb,action,eiken4,0
59,surprise,～を驚かせる,verb,action,eiken4,0
60,take care of,～の世話をする,verb,action,eiken4,0
61,touch,さわる,verb,action,eiken4,0
62,try,試みる,verb,action,eiken4,1
63,turn off,～を消す,verb,action,eiken4,0
64,visit,訪問する,verb,action,eiken4,1
65,wait,待つ,verb,action,eiken4,1
66,wait for,～を待つ,verb,action,eiken4,0
67,wear,〜を身につけている,verb,action,eiken4,1
68,win,勝つ,verb,action,eiken4,0
69,work for,～で働いている,verb,action,eiken4,0
70,believe in,～の存在を信じる,verb,mind,eiken4,0
71,feel,感じる,verb,mind,eiken4,1
72,feel better,気分がよくなる,verb,mind,eiken4,0
73,forget,忘れる,verb,mind,eiken4,1
74,forget to,〜するのを忘れる,verb,mind,eiken4,0
75,hope,〜を望む,verb,mind,eiken4,1
76,look for,〜を探す,verb,mind,eiken4,1
77,remember,思い出す,verb,mind,eiken4,1
78,think of,～のことを考える,verb,mind,eiken4,0
79,understand,理解する,verb,mind,eiken4,1
80,worry,心配する,verb,mind,eiken4,1
