id,en,ja,pos,theme,level,is_frequent
1,be,be動詞（原形）,verb,grammar,eiken5,1
2,am,ある・いる・～は（主語はI）,verb,grammar,eiken5,1
3,are,ある・いる・～は（主語はyou/we/they）,verb,grammar,eiken5,1
4,is,ある・いる・～は（主語はit/he/she）,verb,grammar,eiken5,1
5,"do, does",する,verb,action,eiken5,1
6,see,見る・見える,verb,mind,eiken5,1
7,speak,話す（言語を話す）,verb,communication,eiken5,0
8,know,知っている,verb,mind,eiken5,1
9,cook,料理する,verb,creation,eiken5,0
10,open,開く,verb,action,eiken5,0
11,make,作る,verb,creation,eiken5,1
12,drink,飲む,verb,action,eiken5,0
13,sing,歌う,verb,creation,eiken5,0
14,walk,歩く,verb,movement,eiken5,0
15,play,遊ぶ・楽器をひく・スポーツをする,verb,action,eiken5,0
16,live,生きる・住む,verb,action,eiken5,0
17,live in,～に住んでいる,verb,action,eiken5,0
18,watch,見る（じっと見る）,verb,mind,eiken5,0
19,have,持っている・食べる,verb,grammar,eiken5,1
20,sleep,眠る,verb,action,eiken5,0
21,sleep in bed,ベッドで寝る,verb,action,eiken5,0
22,go,行く,verb,movement,eiken5,1
23,go swimming,泳ぎに行く,verb,movement,eiken5,0
24,go shopping,買い物に行く,verb,movement,eiken5,0
25,go fishing,釣りに行く,verb,movement,eiken5,0
26,go camping,キャンプに行く,verb,movement,eiken5,0
27,go skiing,スキーに行く,verb,movement,eiken5,0
28,go to bed,ベッドに入る,verb,action,eiken5,0
29,help,助ける,verb,action,eiken5,0
30,run,走る,verb,movement,eiken5,0
31,read,読む・読書をする,verb,action,eiken5,0
32,listen,聞く,verb,communication,eiken5,0
33,listen to,～を聞く,verb,communication,eiken5,0
34,eat,食べる,verb,action,eiken5,0
35,close,閉まる・閉める,verb,action,eiken5,0
36,sit,座る,verb,action,eiken5,0
37,sit down,座る,verb,action,eiken5,0
38,write,書く,verb,communication,eiken5,0
39,buy,買う,verb,action,eiken5,0
40,wash,洗う,verb,action,eiken5,0
41,use,使う,verb,action,eiken5,0
42,paint,絵具を塗る・色をつける,verb,creation,eiken5,0
43,teach,教える,verb,communication,eiken5,0
44,get,手に入れる,verb,action,eiken5,1
45,get up,起き上がる,verb,action,eiken5,0
46,stand,立つ,verb,action,eiken5,0
47,stand up,立ち上がる,verb,action,eiken5,0
48,study,勉強する,verb,action,eiken5,0
49,meet,会う,verb,action,eiken5,0
50,take,取る・連れていく,verb,action,eiken5,1
51,take a shower,シャワーをあびる,verb,action,eiken5,0
52,jump,とび上がる,verb,movement,eiken5,0
53,look,見る,verb,mind,eiken5,1
54,look at,～を見る,verb,mind,eiken5,0
55,start,始まる・始める,verb,action,eiken5,0
56,want,ほしい,verb,mind,eiken5,1
57,love,愛する,verb,mind,eiken5,0
58,need,必要とする,verb,mind,eiken5,1
59,say,言う,verb,communication,eiken5,1
60,snow,雪がふる,verb,action,eiken5,0
61,shop,買い物をする,verb,action,eiken5,0
62,swim,泳ぐ,verb,movement,eiken5,0
63,enjoy,楽しむ,verb,mind,eiken5,0
64,stop,終わる・終える,verb,action,eiken5,0
65,think,考える・思う,verb,mind,eiken5,1
66,put,置く,verb,action,eiken5,0
67,work,働く,verb,action,eiken5,0
68,come,来る,verb,movement,eiken5,1
69,come from,～出身である,verb,movement,eiken5,0
70,come to,～に来る,verb,movement,eiken5,0
71,come back,戻る,verb,movement,eiken5,0
72,tell,話す・～をするように言う,verb,communication,eiken5,1
73,ask,たずねる,verb,communication,eiken5,0
74,give,あげる,verb,action,eiken5,1
75,like,好きだ,verb,mind,eiken5,1
76,clean,きれいにする,verb,action,eiken5,0
77,cry,泣く,verb,action,eiken5,0
78,thank,感謝する,verb,communication,eiken5,0
79,stay,滞在する,verb,action,eiken5,0
80,draw,引っ張る・線を引く・黒で絵を描く,verb,creation,eiken5,0
81,fly,飛ぶ,verb,movement,eiken5,0
82,talk,話す,verb,communication,eiken5,0
83,talk about,～について話す,verb,communication,eiken5,0
84,wake,目が覚める・起きる,verb,action,eiken5,0
85,carry,運ぶ,verb,action,eiken5,0
86,sell,売る,verb,action,eiken5,0
87,cut,切る,verb,action,eiken5,0
88,hear,聞こえる,verb,mind,eiken5,0
89,begin,始まる・始める,verb,action,eiken5,0
90,ski,スキーをする,verb,movement,eiken5,0
91,smile,ほほえむ,verb,action,eiken5,0
92,wait,待つ,verb,action,eiken5,0
93,learn,学ぶ,verb,mind,eiken5,0
94,turn,まわる,verb,movement,eiken5,0
95,skate,スケートをする,verb,movement,eiken5,0
96,practice,練習する,verb,action,eiken5,0
97,call,電話する・呼ぶ,verb,communication,eiken5,0
98,January,1月,noun,month,eiken5,0
99,February,2月,noun,month,eiken5,0
100,March,3月,noun,month,eiken5,0
101,April,4月,noun,month,eiken5,0
102,May,5月,noun,month,eiken5,0
103,June,6月,noun,month,eiken5,0
104,July,7月,noun,month,eiken5,0
105,August,8月,noun,month,eiken5,0
106,September,9月,noun,month,eiken5,0
107,October,10月,noun,month,eiken5,0
108,November,11月,noun,month,eiken5,0
109,December,12月,noun,month,eiken5,0
110,month,ひと月,noun,month,eiken5,1
111,Sunday,日曜日,noun,weekday,eiken5,0
112,Monday,月曜日,noun,weekday,eiken5,0
113,Tuesday,火曜日,noun,weekday,eiken5,0
114,Wednesday,水曜日,noun,weekday,eiken5,0
115,Thursday,木曜日,noun,weekday,eiken5,0
116,Friday,金曜日,noun,weekday,eiken5,0
117,Saturday,土曜日,noun,weekday,eiken5,0
118,week,週,noun,weekday,eiken5,1
119,day,日,noun,time,eiken5,1
120,hour,1時間,noun,time,eiken5,1
121,minute,分,noun,time,eiken5,0
122,date,日付,noun,time,eiken5,0
123,year,年,noun,time,eiken5,1
124,time,時間,noun,time,eiken5,1
125,today,今日,adverb,time,eiken5,1
126,morning,朝・午前中,noun,time,eiken5,1
127,noon,真昼の12時,noun,time,eiken5,0
128,night,夜,noun,time,eiken5,1
129,afternoon,午後,noun,time,eiken5,1
130,every day,毎日,adverb,time,eiken5,1
131,every night,毎晩,adverb,time,eiken5,0
132,tomorrow,明日,adverb,time,eiken5,1
133,evening,夕方,noun,time,eiken5,0
134,weekend,週末,noun,time,eiken5,0
135,birthday,誕生日,noun,time,eiken5,0
136,season,季節,noun,season,eiken5,0
137,spring,春,noun,season,eiken5,0
138,summer,夏,noun,season,eiken5,0
139,fall,秋,noun,season,eiken5,0
140,winter,冬,noun,season,eiken5,0
141,number,数字・番号,noun,number,eiken5,0
142,one,1,noun,number,eiken5,1
143,two,2,noun,number,eiken5,1
144,three,3,noun,number,eiken5,1
145,four,4,noun,number,eiken5,1
146,five,5,noun,number,eiken5,1
147,six,6,noun,number,eiken5,1
148,seven,7,noun,number,eiken5,1
149,eight,8,noun,number,eiken5,1
150,nine,9,noun,number,eiken5,1
151,ten,10,noun,number,eiken5,1
152,eleven,11,noun,number,eiken5,0
153,twelve,12,noun,number,eiken5,0
154,thirteen,13,noun,number,eiken5,0
155,fourteen,14,noun,number,eiken5,0
156,fifteen,15,noun,number,eiken5,0
157,sixteen,16,noun,number,eiken5,0
158,seventeen,17,noun,number,eiken5,0
159,eighteen,18,noun,number,eiken5,0
160,nineteen,19,noun,number,eiken5,0
161,twenty,20,noun,number,eiken5,0
162,hundred,100,noun,number,eiken5,0
163,thousand,1000,noun,number,eiken5,0
164,breakfast,朝食,noun,food,eiken5,1
165,lunch,昼食・ランチ,noun,food,eiken5,1
166,dinner,夕食,noun,food,eiken5,1
167,food,食べ物,noun,food,eiken5,1
168,dessert,デザート,noun,food,eiken5,0
169,lunchtime,ランチタイム,noun,food,eiken5,0
170,cooking,料理,noun,food,eiken5,0
171,fruit,果物,noun,food,eiken5,0
172,vegetable,野菜,noun,food,eiken5,0
173,bread,パン,noun,food,eiken5,1
174,fish,魚,noun,food,eiken5,1
175,milk,ミルク,noun,food,eiken5,1
176,meat,肉,noun,food,eiken5,0
177,ice,氷,noun,food,eiken5,0
178,water,水,noun,food,eiken5,1
179,orange,オレンジ,noun,food,eiken5,0
180,rice,米,noun,food,eiken5,1
181,cake,ケーキ,noun,food,eiken5,0
182,grape,ぶどう,noun,food,eiken5,0
183,carrot,にんじん,noun,food,eiken5,0
184,pizza,ピザ,noun,food,eiken5,0
185,apple,りんご,noun,food,eiken5,0
186,egg,卵,noun,food,eiken5,1
187,cookie,クッキー,noun,food,eiken5,0
188,ice cream,アイスクリーム,noun,food,eiken5,0
189,sandwich,サンドイッチ,noun,food,eiken5,0
