id,en,ja,pos,theme,level,is_frequent
1,be from,〜の出身である,verb,grammar,eiken3,0
2,be made from,〜で作られている,verb,grammar,eiken3,0
3,be made into,～に作り替えられる,verb,grammar,eiken3,0
4,be made of,～で作られている,verb,grammar,eiken3,0
5,had better,〜する方がよい,verb,grammar,eiken3,0
6,let's,～しましょう,verb,grammar,eiken3,0
7,not have to,～する必要はない,verb,grammar,eiken3,0
8,appear,現れる,verb,action,eiken3,0
9,attend,〜に出席する,verb,action,eiken3,1
10,be born,生まれる,verb,action,eiken3,0
11,be caught in,～に巻き込まれる,verb,action,eiken3,0
12,be home,家にいる,verb,action,eiken3,0
13,be in bed,就寝している,verb,action,eiken3,0
14,be kind to,〜に親切である,verb,action,eiken3,0
15,be over,終わる,verb,action,eiken3,0
16,begin doing,〜し始める,verb,action,eiken3,0
17,begin to,〜し始める,verb,action,eiken3,0
18,belong to,～に所属している,verb,action,eiken3,0
19,bring back,〜を返す,verb,action,eiken3,0
20,burn,燃える,verb,action,eiken3,1
21,cancel,〜を取り消す,verb,action,eiken3,1
22,cause,〜を引き起こす,verb,action,eiken3,0
23,celebrate,〜を祝う,verb,action,eiken3,1
24,check for,〜の有無を確認する,verb,action,eiken3,0
25,cheer up,〜を元気づける,verb,action,eiken3,0
26,clean up,～を片付ける,verb,action,eiken3,0
27,come true,実現する,verb,action,eiken3,0
28,continue,～を続ける,verb,action,eiken3,1
29,control,～を操作する,verb,action,eiken3,0
30,cool down,落ち着く,verb,action,eiken3,0
31,cost,～がかかる,verb,action,eiken3,1
32,count,数える,verb,action,eiken3,0
33,cover,〜を覆う,verb,action,eiken3,1
34,crash,衝突する,verb,action,eiken3,0
35,cry,泣く,verb,action,eiken3,1
36,deliver,〜を配達する,verb,action,eiken3,0
37,depend on,〜次第である,verb,action,eiken3,0
38,destroy,～を破壊する,verb,action,eiken3,0
39,die,死ぬ,verb,action,eiken3,1
40,disappear,姿を消す,verb,action,eiken3,0
41,discover,～を発見する,verb,action,eiken3,0
42,display,〜を展示する,verb,action,eiken3,0
43,do well,いい成績を取る,verb,action,eiken3,0
44,drive me to,私を車で〜へ送る,verb,action,eiken3,0
45,exchange,～を交換する,verb,action,eiken3,1
46,exercise,運動する,verb,action,eiken3,0
47,fail,失敗する,verb,action,eiken3,0
48,fasten,～を締める,verb,action,eiken3,0
49,feed,えさをやる,verb,action,eiken3,0
50,fight,戦う,verb,action,eiken3,0
51,fight with,～と戦う,verb,action,eiken3,0
52,fill,満たす,verb,action,eiken3,0
53,fit,ぴったり合う,verb,action,eiken3,0
54,follow,～に従う,verb,action,eiken3,1
55,get better,よくなる,verb,action,eiken3,0
56,get dressed,服を着る,verb,action,eiken3,0
57,get married,結婚する,verb,action,eiken3,0
58,get together,集まる,verb,action,eiken3,0
59,get well,(病気が)よくなる,verb,action,eiken3,0
60,give a ride,車で送る,verb,action,eiken3,0
61,give back,〜を返す,verb,action,eiken3,0
62,go ahead,先に始めてください,verb,action,eiken3,0
63,go to lunch,昼食に行く,verb,action,eiken3,0
64,go to sleep,眠る,verb,action,eiken3,0
65,graduate,卒業する,verb,action,eiken3,0
