id,en,ja,pos,theme,level,is_frequent
1,abate,弱まる,verb,action,toeic900,0
2,abbreviate,～を省略する,verb,action,toeic900,0
3,abound,たくさんある,verb,action,toeic900,0
4,abstain,差し控える,verb,action,toeic900,0
5,acclimate,慣れる,verb,action,toeic900,0
6,accrue,（利息などが）発生する,verb,action,toeic900,0
7,activate,〜を有効にする,verb,action,toeic900,0
8,adhere,〜に従う,verb,action,toeic900,0
9,adhere to,〜を厳守する,verb,action,toeic900,0
10,adjourn,～を休会する,verb,action,toeic900,0
11,admonish,～に諭す,verb,action,toeic900,0
12,adorn,～を飾る,verb,action,toeic900,0
13,affiliate,～と提携する,verb,action,toeic900,0
14,aggravate,〜を悪化させる,verb,action,toeic900,0
15,align,一致させる,verb,action,toeic900,0
16,alleviate,～を緩和する,verb,action,toeic900,0
17,allot,〜を割り当てる,verb,action,toeic900,0
18,amass,〜を蓄積する,verb,action,toeic900,0
19,ameliorate,～を改善する,verb,action,toeic900,0
20,amend,～を修正する,verb,action,toeic900,0
21,amplify,〜を増幅する,verb,action,toeic900,0
22,anchor,～をしっかりと固定する,verb,action,toeic900,0
23,annotate,～に注釈をつける,verb,action,toeic900,0
24,appraise,〜の価値を査定する,verb,action,toeic900,0
25,apprehend,～を理解する,verb,action,toeic900,0
26,arouse,～をかき立てる,verb,action,toeic900,0
27,ascribe,〜に帰する,verb,action,toeic900,0
28,assimilate,同化する,verb,action,toeic900,0
29,astound,～を驚かせる,verb,action,toeic900,0
30,attest,〜が本当であると証明する,verb,action,toeic900,0
31,attribute,帰する,verb,action,toeic900,0
32,augment,増やす,verb,action,toeic900,0
33,authenticate,〜を認証する,verb,action,toeic900,0
34,avert,〜を未然に防ぐ,verb,action,toeic900,0
35,backfire,裏目に出る,verb,action,toeic900,0
36,baffle,～を当惑させる,verb,action,toeic900,0
37,bargain with,〜と交渉する,verb,action,toeic900,0
38,barter,物々交換する,verb,action,toeic900,0
39,be based in,～に本拠を置いている,verb,action,toeic900,0
40,be sited in,〜に位置する,verb,action,toeic900,0
41,be stuck in,～で立ち往生している,verb,action,toeic900,0
42,bear to do,〜するのを我慢する,verb,action,toeic900,0
43,belittle,～をけなす,verb,action,toeic900,0
44,bestow,〜を授ける,verb,action,toeic900,0
45,beware,気をつける,verb,action,toeic900,0
46,bewilder,～を困惑させる,verb,action,toeic900,0
47,bid for,～に入札する,verb,action,toeic900,0
48,bolster,～を強化する,verb,action,toeic900,0
49,bother to do,わざわざ〜する,verb,action,toeic900,0
50,breach,（契約など）違反する,verb,action,toeic900,0
51,brew,醸造する,verb,action,toeic900,0
52,bring out,～を市場に出す,verb,action,toeic900,0
53,bruise,～にあざを作る,verb,action,toeic900,0
54,buy out,〜を買収する,verb,action,toeic900,0
55,bypass,〜を回避する,verb,action,toeic900,0
56,call off,〜を中止する,verb,action,toeic900,0
57,captivate,～を魅了する,verb,action,toeic900,0
58,carry over,〜を繰り越す,verb,action,toeic900,0
59,cater to,～に応じる,verb,action,toeic900,0
60,chronicle,〜を年代順に記録する,verb,action,toeic900,0
61,claim to do,～すると主張する,verb,action,toeic900,0
62,cling,固執する,verb,action,toeic900,0
63,collate,～を照合する,verb,action,toeic900,0
64,collide with,～と衝突する,verb,action,toeic900,0
65,compel,〜するよう強いる,verb,action,toeic900,0
66,compensate,～に補償する,verb,action,toeic900,0
67,compound,～を悪化させる,verb,action,toeic900,0
68,concede,～を認める,verb,action,toeic900,0
69,conceive,～を思いつく,verb,action,toeic900,0
70,concur,同意する,verb,action,toeic900,0
71,condemn,〜を非難する,verb,action,toeic900,0
72,confide,～を打ち明ける,verb,action,toeic900,0
73,confiscate,〜を没収する,verb,action,toeic900,0
74,conform to,～に従う,verb,action,toeic900,0
75,congratulate,〜を祝う,verb,action,toeic900,0
76,consign,委託する,verb,action,toeic900,0
77,consist,～から成る,verb,action,toeic900,0
78,consist in,(本質が)〜にある,verb,action,toeic900,0
79,consolidate,～を統合する,verb,action,toeic900,0
80,contradict,〜と矛盾する,verb,action,toeic900,0
81,contrive,〜を考え出す,verb,action,toeic900,0
82,convene,～を召集する,verb,action,toeic900,0
83,converge,一点に集まる,verb,action,toeic900,0
84,convict,～に有罪を宣告する,verb,action,toeic900,0
85,countersign,～に副署する,verb,action,toeic900,0
86,creep,這って進む,verb,action,toeic900,0
87,crouch,しゃがむ,verb,action,toeic900,0
88,crumble,崩れ落ちる,verb,action,toeic900,0
89,crumple,くしゃくしゃにする,verb,action,toeic900,0
90,culminate,最終的に〜に至る,verb,action,toeic900,0
91,culminate in,ついに〜となる,verb,action,toeic900,0
92,curtail,〜を削減する,verb,action,toeic900,1
93,cut down,～を減らす,verb,action,toeic900,0
94,decipher,～を判読する,verb,action,toeic900,0
95,deem,〜とみなす,verb,action,toeic900,0
96,default,（支払いを）滞納する,verb,action,toeic900,0
97,defer,～を延期する,verb,action,toeic900,1
98,defer to,～に従う,verb,action,toeic900,0
99,deliberate,～を審議する,verb,action,toeic900,0
100,delineate,〜を詳しく説明する,verb,action,toeic900,0
101,demolish,～を取り壊す,verb,action,toeic900,0
102,demoralize,〜の士気をくじく,verb,action,toeic900,0
103,denounce,〜を非難する,verb,action,toeic900,0
104,dent,～をへこませる,verb,action,toeic900,0
105,depict,～を描く,verb,action,toeic900,0
106,deplete,〜を枯渇させる,verb,action,toeic900,0
107,deploy,～を配置する,verb,action,toeic900,0
108,depose,～を免職にする,verb,action,toeic900,0
109,depreciate,価値が下がる,verb,action,toeic900,0
110,derive,～を引き出す,verb,action,toeic900,0
111,detach,～を切り離す,verb,action,toeic900,0
112,detain,～を拘留する,verb,action,toeic900,0
113,deter,～を思いとどまらせる,verb,action,toeic900,0
114,deteriorate,悪化する,verb,action,toeic900,0
115,devastate,〜を壊滅させる,verb,action,toeic900,0
116,deviate,それる,verb,action,toeic900,0
117,dilute,～を薄める,verb,action,toeic900,0
118,disclaim,〜を否認する,verb,action,toeic900,0
119,disconnect,接続を切る,verb,action,toeic900,0
120,disguise,〜を変装させる,verb,action,toeic900,0
121,disinfect,〜を消毒する,verb,action,toeic900,0
122,dismantle,～を分解する,verb,action,toeic900,0
123,dispatch,～を派遣する,verb,action,toeic900,0
124,dispel,懸念を払拭する,verb,action,toeic900,0
125,dispense,〜を配布する,verb,action,toeic900,0
126,disperse,〜を分散させる,verb,action,toeic900,0
127,disrupt,〜を混乱させる,verb,action,toeic900,0
128,disseminate,広める,verb,action,toeic900,0
129,dissipate,消える,verb,action,toeic900,0
130,distort,〜をゆがめる,verb,action,toeic900,0
131,distract,〜の注意をそらす,verb,action,toeic900,0
132,distress,～を苦悩させる,verb,action,toeic900,0
133,divert,〜を転用する,verb,action,toeic900,0
134,draw up,〜を作成する,verb,action,toeic900,0
135,drizzle,霧雨が降る,verb,action,toeic900,0
136,dwindle,だんだん減少する,verb,action,toeic900,0
137,earmark,〜を取っておく,verb,action,toeic900,0
138,elucidate,〜を解明する,verb,action,toeic900,0
139,embark,着手する,verb,action,toeic900,0
140,embrace,～を快諾する,verb,action,toeic900,0
141,embroider,～に刺繍をする,verb,action,toeic900,0
142,empower,（人）に権限を与える,verb,action,toeic900,0
143,enact,～を制定する,verb,action,toeic900,0
144,encompass,〜を包含する,verb,action,toeic900,0
145,encrypt,〜を暗号化する,verb,action,toeic900,0
146,endorse,〜を承認する,verb,action,toeic900,1
147,engrave,〜を刻む,verb,action,toeic900,0
148,entail,伴う,verb,action,toeic900,0
149,entitle,〜に資格を与える,verb,action,toeic900,0
150,envision,〜を思い描く,verb,action,toeic900,0
151,epitomize,〜の典型である,verb,action,toeic900,0
152,equalize,～を等しくする,verb,action,toeic900,0
153,eradicate,～を根絶する,verb,action,toeic900,0
154,erect,〜を設置する,verb,action,toeic900,0
155,evacuate,〜から避難させる,verb,action,toeic900,0
156,evict,～を立ち退かせる,verb,action,toeic900,0
157,evoke,〜を喚起する,verb,action,toeic900,0
158,exaggerate,〜を誇張する,verb,action,toeic900,0
159,excavate,～を発掘する,verb,action,toeic900,0
160,excel in,～に秀でている,verb,action,toeic900,0
161,exemplify,〜を例として示す,verb,action,toeic900,0
162,exempt,～を免除する,verb,action,toeic900,1
163,exert,～を行使する,verb,action,toeic900,0
164,expedite,〜を早める,verb,action,toeic900,0
165,expel,〜を追放する,verb,action,toeic900,0
166,exploit,活用する,verb,action,toeic900,0
167,extradite,〜を引き渡す,verb,action,toeic900,0
168,fetch,～を取ってくる,verb,action,toeic900,0
169,fill in for,～の代理をする,verb,action,toeic900,0
170,fine-tune,〜を微調整する,verb,action,toeic900,0
171,flip,〜をさっと動かす,verb,action,toeic900,0
172,flock,集まる,verb,action,toeic900,0
173,flounder,低迷する,verb,action,toeic900,0
174,fluctuate,変動する,verb,action,toeic900,0
175,forestall,～を未然に防ぐ,verb,action,toeic900,0
176,foretell,〜を予言する,verb,action,toeic900,0
177,forfeit,権利を失う,verb,action,toeic900,0
178,forge,〜を築く,verb,action,toeic900,0
179,fray,ほつれる,verb,action,toeic900,0
180,fuse,～を融合させる,verb,action,toeic900,0
181,garner,獲得する,verb,action,toeic900,0
182,garnish,〜を飾る,verb,action,toeic900,0
183,gauge,～を測定する,verb,action,toeic900,0
184,get nowhere,進展しない,verb,action,toeic900,0
185,glare,〜をにらみつける,verb,action,toeic900,0
186,glimpse,ちらりと見る,verb,action,toeic900,0
187,go in for,～に参加する,verb,action,toeic900,0
188,go with,〜に似合う,verb,action,toeic900,0
189,grieve,悲しむ,verb,action,toeic900,0
190,hamper,～を妨げる,verb,action,toeic900,0
191,hand over,～を譲り渡す,verb,action,toeic900,0
192,harmonize,調和する,verb,action,toeic900,0
193,hatch,〜を企てる,verb,action,toeic900,0
194,haul,～を運ぶ,verb,action,toeic900,0
195,headquarter,本社を置く,verb,action,toeic900,0
196,hinder,～を邪魔する,verb,action,toeic900,0
197,hover,（価格などが）近辺で推移する,verb,action,toeic900,0
198,humiliate,～に屈辱を与える,verb,action,toeic900,0
199,illuminate,～を照らす,verb,action,toeic900,0
200,impede,妨げる,verb,action,toeic900,0
201,implore,～に懇願する,verb,action,toeic900,0
202,improvise,～を即興で行う,verb,action,toeic900,0
203,inaugurate,〜を就任させる,verb,action,toeic900,0
204,incorporate,～を組み込む,verb,action,toeic900,0
205,incur,費用を負担する,verb,action,toeic900,1
206,indoctrinate,教え込む,verb,action,toeic900,0
207,induce,〜するよう説得する,verb,action,toeic900,0
208,indulge,ふける,verb,action,toeic900,0
209,inflate,膨らませる,verb,action,toeic900,0
210,infringe,〜を侵害する,verb,action,toeic900,0
211,infuse,〜を注入する,verb,action,toeic900,0
212,inhibit,～を抑制する,verb,action,toeic900,0
213,inscribe,〜を刻み込む,verb,action,toeic900,0
214,instill,～を教え込む,verb,action,toeic900,0
215,insulate,～を断熱する,verb,action,toeic900,0
216,interact,交流する,verb,action,toeic900,0
217,intervene,介入する,verb,action,toeic900,0
218,invigorate,〜を活気づける,verb,action,toeic900,0
219,irrigate,～に水を引く,verb,action,toeic900,0
220,iterate,繰り返す,verb,action,toeic900,0
221,jeopardize,～を危険にさらす,verb,action,toeic900,0
222,kneel,ひざまずく,verb,action,toeic900,1
223,levy,～を課す,verb,action,toeic900,0
224,linger,ぐずぐずする,verb,action,toeic900,0
225,lingering,残る,verb,action,toeic900,0
226,liquidate,～を清算する,verb,action,toeic900,0
227,loom,迫る,verb,action,toeic900,0
228,lure,〜を引き寄せる,verb,action,toeic900,0
229,make sure,〜を確かめる,verb,action,toeic900,0
230,mandate,～を義務付ける,verb,action,toeic900,0
231,manifest,明らかにする,verb,action,toeic900,0
232,mar,～を損なう,verb,action,toeic900,0
233,mark down,〜を値下げする,verb,action,toeic900,0
234,meditate,瞑想する,verb,action,toeic900,0
235,merge with,～と合併する,verb,action,toeic900,0
236,mingle,歓談する,verb,action,toeic900,0
237,mourn,哀悼する,verb,action,toeic900,0
238,mow,〜を刈る,verb,action,toeic900,0
239,necessitate,〜を必要とする,verb,action,toeic900,0
240,nullify,～を無効にする,verb,action,toeic900,0
241,number,〜を数える,verb,action,toeic900,0
242,nurture,～を育成する,verb,action,toeic900,0
243,obligate,義務付ける,verb,action,toeic900,0
244,obsess,〜に取りつかれる,verb,action,toeic900,0
245,officiate,(式を)執り行う,verb,action,toeic900,0
246,offset,～を相殺する,verb,action,toeic900,0
247,opt,〜を選択する,verb,action,toeic900,0
248,originate in,～から生じる,verb,action,toeic900,0
249,outweigh,〜を上回る,verb,action,toeic900,0
250,overbook,定員を超えて予約を受け付ける,verb,action,toeic900,0
251,overestimate,～を過大評価する,verb,action,toeic900,0
252,overhaul,～を全面的に見直す,verb,action,toeic900,0
253,overshadow,〜の影を薄くする,verb,action,toeic900,0
254,paralyze,麻痺させる,verb,action,toeic900,0
255,perspire,汗をかく,verb,action,toeic900,0
256,pertain,～に関係する,verb,action,toeic900,0
257,pierce,～を突き刺す,verb,action,toeic900,0
258,pitch,〜を売り込む,verb,action,toeic900,0
259,plead,～を嘆願する,verb,action,toeic900,0
260,plug in,〜をコンセントにつなぐ,verb,action,toeic900,0
261,plummet,急落する,verb,action,toeic900,0
262,plunge,急落する,verb,action,toeic900,0
263,populate,住む,verb,action,toeic900,0
264,preclude,～を防ぐ,verb,action,toeic900,0
265,preside,〜を取り仕切る,verb,action,toeic900,0
266,prevail,普及している,verb,action,toeic900,0
267,prevail in,～に普及している,verb,action,toeic900,0
268,procure,～を入手する,verb,action,toeic900,0
269,proliferate,急増する,verb,action,toeic900,0
270,proofread,校正する,verb,action,toeic900,0
271,prop,～を立てかける,verb,action,toeic900,0
272,provoke,～を引き起こす,verb,action,toeic900,0
273,purify,〜を浄化する,verb,action,toeic900,0
274,query,〜を尋ねる,verb,action,toeic900,0
275,quit doing,～することをやめる,verb,action,toeic900,0
276,rage,激怒する,verb,action,toeic900,0
277,rake,～をかき集める,verb,action,toeic900,0
278,rally,回復する,verb,action,toeic900,0
279,ramp,増加させる,verb,action,toeic900,0
280,ratify,～を批准する,verb,action,toeic900,0
281,reap,～を得る,verb,action,toeic900,0
282,rebound,回復する,verb,action,toeic900,0
283,recede,退く,verb,action,toeic900,0
284,reconcile,和解する,verb,action,toeic900,0
285,rectify,〜を訂正する,verb,action,toeic900,0
286,recur,繰り返し起こる,verb,action,toeic900,0
287,redeem,〜を引き換える,verb,action,toeic900,0
288,redress,～を正す,verb,action,toeic900,0
289,refinance,〜を借り換える,verb,action,toeic900,0
290,refute,〜の誤りを立証する,verb,action,toeic900,0
291,rehearse,リハーサルをする,verb,action,toeic900,0
292,reimburse,〜を払い戻す,verb,action,toeic900,1
293,reinstate,復職させる,verb,action,toeic900,0
294,relegate,～を降格させる,verb,action,toeic900,0
295,relinquish,〜を放棄する,verb,action,toeic900,0
296,remit,送金する,verb,action,toeic900,1
297,render,～を提供する,verb,action,toeic900,0
298,renounce,〜を放棄する,verb,action,toeic900,0
299,repel,〜を寄せ付けない,verb,action,toeic900,0
300,replenish,～を補充する,verb,action,toeic900,0
301,replicate,〜を再現する,verb,action,toeic900,0
302,reproach,とがめる,verb,action,toeic900,0
303,reside in,〜に住む,verb,action,toeic900,0
304,resonate,反響する,verb,action,toeic900,0
305,retrieve,～を検索する,verb,action,toeic900,0
306,revamp,〜を刷新する,verb,action,toeic900,0
307,revert,戻る,verb,action,toeic900,0
308,revert to,（以前の状態）に戻る,verb,action,toeic900,0
309,revitalize,～に再び活気を与える,verb,action,toeic900,0
310,revoke,〜を無効にする,verb,action,toeic900,0
311,rip,〜をはぎ取る,verb,action,toeic900,0
312,roam,散策する,verb,action,toeic900,0
313,rule out,～を除外する,verb,action,toeic900,0
314,rust,さびる,verb,action,toeic900,0
315,sag,下落する,verb,action,toeic900,0
316,saturate,〜を飽和させる,verb,action,toeic900,0
317,scrutinize,〜を綿密に調べる,verb,action,toeic900,0
318,serve to do,〜するのに役立つ,verb,action,toeic900,0
319,set forth,～を明記する,verb,action,toeic900,0
320,sever,〜を断絶する,verb,action,toeic900,0
321,shortlist,～を最終選考リストに載せる,verb,action,toeic900,0
322,showcase,〜を展示する,verb,action,toeic900,0
323,shred,〜を細かく切る,verb,action,toeic900,0
324,shrug,肩をすくめる,verb,action,toeic900,0
325,signify,～を示す,verb,action,toeic900,0
326,simulate,〜をシミュレートする,verb,action,toeic900,0
327,skyrocket,急上昇する,verb,action,toeic900,0
328,socialize,交流する,verb,action,toeic900,0
329,solicit,〜を要請する,verb,action,toeic900,0
330,solidify,～を固める,verb,action,toeic900,0
331,soothe,〜をなだめる,verb,action,toeic900,0
332,speculate in,〜に投機する,verb,action,toeic900,0
333,sprinkle,～を振り掛ける,verb,action,toeic900,0
334,sprout,発芽する,verb,action,toeic900,0
335,spur,〜に拍車をかける,verb,action,toeic900,0
336,stabilize,～を安定させる,verb,action,toeic900,0
337,stem,起因する,verb,action,toeic900,0
338,step down,辞任する,verb,action,toeic900,0
339,stiffen,こわばる,verb,action,toeic900,0
340,stipulate,〜を明記する,verb,action,toeic900,0
341,strand,〜を立ち往生させる,verb,action,toeic900,0
342,stride,大股で歩く,verb,action,toeic900,0
343,strive,努力する,verb,action,toeic900,0
344,strive for,～を目指して努力する,verb,action,toeic900,0
345,strive to do,～しようと努力する,verb,action,toeic900,0
346,stun,～をびっくりさせる,verb,action,toeic900,0
347,subdue,～を取り押さえる,verb,action,toeic900,0
348,subordinate,～を下位に置く,verb,action,toeic900,0
349,subside,沈静化する,verb,action,toeic900,0
