id,en,ja,pos,theme,level,is_frequent
1,accompany,～に同行する,verb,action,toeic600,0
2,achieve,〜を達成する,verb,action,toeic600,0
3,add,〜を加える,verb,action,toeic600,1
4,allow,〜を許す,verb,action,toeic600,0
5,appear,～のように見える,verb,action,toeic600,0
6,apply for,〜に応募する,verb,action,toeic600,0
7,approve,～を承認する,verb,action,toeic600,0
8,assist,〜を助ける,verb,action,toeic600,0
9,attach,添付する,verb,action,toeic600,0
10,attack,攻撃する,verb,action,toeic600,0
11,avoid,～を避ける,verb,action,toeic600,0
12,behave,振る舞う,verb,action,toeic600,0
13,belong,属する,verb,action,toeic600,0
14,block,〜を遮断する,verb,action,toeic600,0
15,boom,好況になる,verb,action,toeic600,0
16,borrow,～を借りる,verb,action,toeic600,1
17,burn,燃える,verb,action,toeic600,0
18,cancel,〜を取り消す,verb,action,toeic600,1
19,cause,〜を引き起こす,verb,action,toeic600,0
20,celebrate,〜を祝う,verb,action,toeic600,0
21,challenge,～に挑戦する,verb,action,toeic600,0
22,cheer,〜を応援する,verb,action,toeic600,0
23,compare,～を比較する,verb,action,toeic600,1
24,connect,〜を接続する,verb,action,toeic600,1
25,consume,〜を消費する,verb,action,toeic600,0
26,contain,含む,verb,action,toeic600,0
27,continue,続く,verb,action,toeic600,1
28,cover,〜を覆う,verb,action,toeic600,0
29,crash,墜落する,verb,action,toeic600,0
30,cure,～を治す,verb,action,toeic600,0
31,decrease,減少する,verb,action,toeic600,0
32,delay,～を遅らせる,verb,action,toeic600,0
33,depend,〜によって決まる,verb,action,toeic600,0
34,differ,異なる,verb,action,toeic600,0
35,display,〜を展示する,verb,action,toeic600,1
36,distribute,〜を配布する,verb,action,toeic600,0
37,divide,～を分ける,verb,action,toeic600,0
38,divorce,〜と離婚する,verb,action,toeic600,0
39,drop,減少する,verb,action,toeic600,0
40,empty,～を空にする,verb,action,toeic600,1
41,enclose,～を同封する,verb,action,toeic600,0
42,escape,逃げる,verb,action,toeic600,0
43,excuse,許す,verb,action,toeic600,0
44,exercise,運動する,verb,action,toeic600,0
45,exist,存在する,verb,action,toeic600,0
46,explore,〜を調査する,verb,action,toeic600,0
47,face,〜と向き合う,verb,action,toeic600,1
48,fallen,落ちた,verb,action,toeic600,0
49,feature,特集する,verb,action,toeic600,0
50,flash,点滅する,verb,action,toeic600,0
51,follow,～に従う,verb,action,toeic600,0
52,gain,〜を得る,verb,action,toeic600,0
53,gather,集まる,verb,action,toeic600,0
54,glance,ちらっと見る,verb,action,toeic600,0
55,grant,～を与える,verb,action,toeic600,0
56,guard,〜を警備する,verb,action,toeic600,0
57,hang,～をつるす,verb,action,toeic600,1
58,harm,害を及ぼす,verb,action,toeic600,0
59,hide,隠れる,verb,action,toeic600,0
60,house,～を収容する,verb,action,toeic600,0
61,hurt,～を傷つける,verb,action,toeic600,0
62,improve,改善する,verb,action,toeic600,0
63,include,～を含む,verb,action,toeic600,0
64,injure,〜を傷つける,verb,action,toeic600,0
65,interrupt,～を遮る,verb,action,toeic600,0
66,iron,～にアイロンをかける,verb,action,toeic600,0
67,judge,〜を判断する,verb,action,toeic600,0
68,lay,〜を置く,verb,action,toeic600,0
69,lift,～を持ち上げる,verb,action,toeic600,0
70,load,〜を積み込む,verb,action,toeic600,0
71,lower,～を下げる,verb,action,toeic600,1
72,mark,～に印を付ける,verb,action,toeic600,0
73,match,〜と調和する,verb,action,toeic600,0
74,memorize,〜を覚える,verb,action,toeic600,0
75,modify,～を修正する,verb,action,toeic600,0
76,narrow,〜を縮小する,verb,action,toeic600,0
77,offend,（人）の気持ちを害する,verb,action,toeic600,0
78,oppose,～に反対する,verb,action,toeic600,0
79,organize,組織する,verb,action,toeic600,0
80,page,～を呼び出す,verb,action,toeic600,0
81,park,駐車する,verb,action,toeic600,1
82,perform,～を遂行する,verb,action,toeic600,1
83,permit,〜を許可する,verb,action,toeic600,0
84,pick,〜を選ぶ,verb,action,toeic600,0
85,pile,～を積み上げる,verb,action,toeic600,0
86,purchase,購入する,verb,action,toeic600,0
87,quit,〜を辞める,verb,action,toeic600,0
88,react,反応する,verb,action,toeic600,0
89,record,記録する,verb,action,toeic600,0
90,recycle,〜をリサイクルする,verb,action,toeic600,0
91,reduce,〜を減らす,verb,action,toeic600,0
92,refresh,～を元気にする,verb,action,toeic600,0
93,refuse,～を断る,verb,action,toeic600,0
94,reject,～を拒絶する,verb,action,toeic600,0
95,remain,～のままである,verb,action,toeic600,1
96,remove,〜を取り除く,verb,action,toeic600,0
97,replace,〜を取り替える,verb,action,toeic600,0
98,require,～を必要とする,verb,action,toeic600,0
99,resemble,～に似ている,verb,action,toeic600,0
100,reserve,〜を予約する,verb,action,toeic600,0
101,retire,退職する,verb,action,toeic600,0
102,revise,～を修正する,verb,action,toeic600,0
103,rise,上がる,verb,action,toeic600,1
104,ruin,～を台無しにする,verb,action,toeic600,0
105,score,点を取る,verb,action,toeic600,0
