id,en,ja,pos,theme,level,is_frequent
1,am,～である,verb,grammar,debug,0
2,are,〜である,verb,grammar,debug,0
3,be,〜である,verb,grammar,debug,0
4,can,〜することができる,verb,grammar,debug,0
5,go doing,～しに行く,verb,grammar,debug,0
6,is,～である,verb,grammar,debug,0
7,like doing,～することが好きである,verb,grammar,debug,0
8,like reading,読書が好きだ,verb,grammar,debug,0
9,need,〜を必要とする,verb,grammar,debug,1
10,want,〜がほしい,verb,grammar,debug,1
11,begin,始める,verb,action,debug,0
12,brush,〜を磨く,verb,action,debug,0
13,buy,〜を買う,verb,action,debug,1
14,camp,キャンプをする,verb,action,debug,0
15,clean,～をきれいにする,verb,action,debug,1
16,close,～を閉める,verb,action,debug,0
17,cook,料理する,verb,action,debug,1
18,cut,～を切る,verb,action,debug,0
19,dance,踊る,verb,action,debug,0
20,do,〜をする,verb,action,debug,1
21,dose,投薬する,verb,action,debug,0
22,drink,～を飲む,verb,action,debug,1
23,eat,食べる,verb,action,debug,1
24,enjoy,〜を楽しむ,verb,action,debug,0
25,get,～を得る,verb,action,debug,1
26,give,与える,verb,action,debug,0
27,have,～を持っている,verb,action,debug,1
28,have a cold,風邪をひいている,verb,action,debug,0
29,help,〜を助ける,verb,action,debug,1
30,live,住む,verb,action,debug,0
