id,en,ja,pos,theme,level,notes
1,abandon,捨てる,verb,action,eiken3,
2,absorb,吸収する,verb,action,eiken3,
3,accompany,同行する,verb,action,eiken3,
4,accomplish,達成する,verb,action,eiken3,
5,accuse,告発する,verb,action,eiken3,
6,accustom,慣れさせる,verb,action,eiken3,
7,acknowledge,認める,verb,action,eiken3,
8,acquire,習得する,verb,action,eiken3,
9,adapt,適応する,verb,action,eiken3,
10,address,取り組む,verb,action,eiken3,
11,adopt,採用する,verb,action,eiken3,
12,advertise,宣伝する,verb,action,eiken3,
13,affect,影響を与える,verb,action,eiken3,
14,afford,余裕がある,verb,action,eiken3,
15,announce,発表する,verb,action,eiken3,
16,applaud,拍手する,verb,action,eiken3,
17,appoint,任命する,verb,action,eiken3,
18,arise,生じる,verb,action,eiken3,
19,arrange,手配する,verb,action,eiken3,
20,assign,割り当てる,verb,action,eiken3,
21,assist,助ける,verb,action,eiken3,
22,associate,関連づける,verb,action,eiken3,
23,assume,仮定する,verb,action,eiken3,
24,attach,取り付ける,verb,action,eiken3,
25,attain,達成する,verb,action,eiken3,
26,attend,出席する,verb,action,eiken3,
27,attract,引き付ける,verb,action,eiken3,
28,babysit,子守をする,verb,action,eiken3,
29,bar,禁じる,verb,action,eiken3,
30,bathe,入浴する,verb,action,eiken3,
31,behave,振る舞う,verb,action,eiken3,
32,bet,賭ける,verb,action,eiken3,
33,bleed,出血する,verb,action,eiken3,
34,bless,祝福する,verb,action,eiken3,
35,block,遮断する,verb,action,eiken3,
36,board,乗り込む,verb,action,eiken3,
37,boast,自慢する,verb,action,eiken3,
38,bore,退屈させる,verb,action,eiken3,
39,bowl,ボウリングをする,verb,action,eiken3,
40,bump,ぶつかる,verb,action,eiken3,
41,burst,破裂する,verb,action,eiken3,
42,bust,壊す,verb,action,eiken3,
43,calculate,計算する,verb,action,eiken3,
44,cancel,キャンセルする,verb,action,eiken3,
45,care,気にかける,verb,action,eiken3,
46,cherish,大切にする,verb,action,eiken3,
47,choke,窒息する,verb,action,eiken3,
48,circle,丸をつける,verb,action,eiken3,
49,classify,分類する,verb,action,eiken3,
50,clear,片付ける,verb,action,eiken3,
51,combine,組み合わせる,verb,action,eiken3,
52,commit,犯す,verb,action,eiken3,
53,complete,完了する,verb,action,eiken3,
54,complicate,複雑にする,verb,action,eiken3,
55,compose,作曲する,verb,action,eiken3,
56,conclude,結論を出す,verb,action,eiken3,
57,congratulate,お祝いを言う,verb,action,eiken3,
58,connect,接続する,verb,action,eiken3,
59,conquer,征服する,verb,action,eiken3,
60,constitute,構成する,verb,action,eiken3,
61,construct,建設する,verb,action,eiken3,
62,consume,消費する,verb,action,eiken3,
63,contain,含む,verb,action,eiken3,
64,contribute,貢献する,verb,action,eiken3,
65,convey,伝える,verb,action,eiken3,
66,convince,説得する,verb,action,eiken3,
67,cultivate,育てる,verb,action,eiken3,
68,dare,あえてする,verb,action,eiken3,
69,date,日付を記す,verb,action,eiken3,
70,declare,宣言する,verb,action,eiken3,
71,dedicate,捧げる,verb,action,eiken3,
72,defend,守る,verb,action,eiken3,
73,define,定義する,verb,action,eiken3,
74,delete,削除する,verb,action,eiken3,
75,deliver,届ける,verb,action,eiken3,
76,demonstrate,実演する,verb,action,eiken3,
77,deny,否定する,verb,action,eiken3,
78,depart,出発する,verb,action,eiken3,
79,deprive,奪う,verb,action,eiken3,
80,derive,引き出す,verb,action,eiken3,
81,deserve,値する,verb,action,eiken3,
82,design,デザインする,verb,action,eiken3,
83,determine,決定する,verb,action,eiken3,
84,devastate,壊滅させる,verb,action,eiken3,
85,differ,異なる,verb,action,eiken3,
86,dig,掘る,verb,action,eiken3,
87,direct,指揮する,verb,action,eiken3,
88,disable,無効にする,verb,action,eiken3,
89,disappoint,失望させる,verb,action,eiken3,
90,discourage,やる気をなくさせる,verb,action,eiken3,
91,dissolve,溶かす,verb,action,eiken3,
92,distinguish,区別する,verb,action,eiken3,
93,distribute,配布する,verb,action,eiken3,
94,drag,引きずる,verb,action,eiken3,
95,drown,溺れる,verb,action,eiken3,
96,educate,教育する,verb,action,eiken3,
97,eliminate,排除する,verb,action,eiken3,
98,embarrass,恥ずかしがらせる,verb,action,eiken3,
99,emerge,現れる,verb,action,eiken3,
100,enable,可能にする,verb,action,eiken3,
101,enclose,同封する,verb,action,eiken3,
102,endanger,危険にさらす,verb,action,eiken3,
103,endure,耐える,verb,action,eiken3,
104,engage,従事する,verb,action,eiken3,
105,enrich,豊かにする,verb,action,eiken3,
106,ensure,確保する,verb,action,eiken3,
107,entertain,楽しませる,verb,action,eiken3,
108,examine,調べる,verb,action,eiken3,
109,excuse,許す,verb,action,eiken3,
110,expand,拡大する,verb,action,eiken3,
111,expose,さらす,verb,action,eiken3,
112,extend,延長する,verb,action,eiken3,
113,fade,色あせる,verb,action,eiken3,
114,fascinate,魅了する,verb,action,eiken3,
115,fasten,締める,verb,action,eiken3,
116,feed,食べさせる,verb,action,eiken3,
117,fetch,取ってくる,verb,action,eiken3,
118,fight,戦う,verb,action,eiken3,
119,float,浮かぶ,verb,action,eiken3,
120,flunk,落第する,verb,action,eiken3,
121,form,形成する,verb,action,eiken3,
122,fry,揚げる,verb,action,eiken3,
123,furnish,備え付ける,verb,action,eiken3,
124,generate,生み出す,verb,action,eiken3,
125,govern,統治する,verb,action,eiken3,
126,grab,つかむ,verb,action,eiken3,
127,group,グループにまとめる,verb,action,eiken3,
128,hang,掛ける,verb,action,eiken3,
129,heal,癒す,verb,action,eiken3,
130,hesitate,ためらう,verb,action,eiken3,
131,hire,雇う,verb,action,eiken3,
132,horrify,恐怖を与える,verb,action,eiken3,
133,ignore,無視する,verb,action,eiken3,
134,illuminate,照らす,verb,action,eiken3,
135,imitate,模倣する,verb,action,eiken3,
136,immigrate,移住する,verb,action,eiken3,
137,impair,損なう,verb,action,eiken3,
138,inform,知らせる,verb,action,eiken3,
139,inhale,吸い込む,verb,action,eiken3,
140,inject,注射する,verb,action,eiken3,
141,inscribe,刻む,verb,action,eiken3,
142,insist,主張する,verb,action,eiken3,
143,inspire,刺激する,verb,action,eiken3,
144,intend,意図する,verb,action,eiken3,
145,interact,交流する,verb,action,eiken3,
146,interrupt,遮る,verb,action,eiken3,
147,invest,投資する,verb,action,eiken3,
148,involve,巻き込む,verb,action,eiken3,
149,irritate,苛立たせる,verb,action,eiken3,
150,joke,冗談を言う,verb,action,eiken3,
151,kid,からかう,verb,action,eiken3,
152,kiss,キスする,verb,action,eiken3,
153,knit,編む,verb,action,eiken3,
154,launch,発売する,verb,action,eiken3,
155,lay,置く,verb,action,eiken3,
156,lessen,減らす,verb,action,eiken3,
157,liberate,解放する,verb,action,eiken3,
158,limp,びっこを引く,verb,action,eiken3,
159,locate,位置を確認する,verb,action,eiken3,
160,lock,鍵をかける,verb,action,eiken3,
161,mail,郵送する,verb,action,eiken3,
162,maintain,維持する,verb,action,eiken3,
163,mash,つぶす,verb,action,eiken3,
164,meditate,瞑想する,verb,action,eiken3,
165,melt,溶ける,verb,action,eiken3,
166,mend,修繕する,verb,action,eiken3,
167,mislead,誤解させる,verb,action,eiken3,
168,modify,修正する,verb,action,eiken3,
169,motivate,やる気にさせる,verb,action,eiken3,
170,mourn,悲しむ,verb,action,eiken3,
171,murder,殺す,verb,action,eiken3,
172,narrate,語る,verb,action,eiken3,
173,notice,気づく,verb,action,eiken3,
174,observe,観察する,verb,action,eiken3,
175,obtain,得る,verb,action,eiken3,
176,occupy,占領する,verb,action,eiken3,
177,occur,起こる,verb,action,eiken3,
178,oppress,抑圧する,verb,action,eiken3,
179,outweigh,上回る,verb,action,eiken3,
180,overcome,克服する,verb,action,eiken3,
181,overwhelm,圧倒する,verb,action,eiken3,
182,owe,借りがある,verb,action,eiken3,
183,own,所有する,verb,action,eiken3,
184,pardon,許す,verb,action,eiken3,
185,participate,参加する,verb,action,eiken3,
186,permit,許可する,verb,action,eiken3,
187,persuade,説得する,verb,action,eiken3,
188,pin,ピンで留める,verb,action,eiken3,
189,plant,植える,verb,action,eiken3,
190,please,喜ばせる,verb,action,eiken3,
191,possess,所有する,verb,action,eiken3,
