id,en,ja,pos,theme,level,notes
639,advertising,,noun,general,eiken4,
640,association,,noun,general,eiken4,
641,banking,,noun,general,eiken4,
642,batch,,noun,general,eiken4,
643,bookshop,,noun,general,eiken4,
644,brainstorm,,noun,general,eiken4,
645,comparative,,noun,general,eiken4,
646,float,,noun,general,eiken4,
647,fry,,noun,general,eiken4,
648,happiness,,noun,general,eiken4,
649,harmony,,noun,general,eiken4,
650,harvest,,noun,general,eiken4,
651,headphone,,noun,general,eiken4,
652,headteacher,,noun,general,eiken4,
653,heat,,noun,general,eiken4,
654,heating,,noun,general,eiken4,
655,hero,,noun,general,eiken4,
656,highway,,noun,general,eiken4,
657,hike,,noun,general,eiken4,
658,hiking,,noun,general,eiken4,
659,hockey,,noun,general,eiken4,
660,honey,,noun,general,eiken4,
661,horror,,noun,general,eiken4,
662,host,,noun,general,eiken4,
663,hunter,,noun,general,eiken4,
664,ID,,noun,general,eiken4,
665,image,,noun,general,eiken4,
666,imagination,,noun,general,eiken4,
667,impact,,noun,general,eiken4,
668,importance,,noun,general,eiken4,
669,inch,,noun,general,eiken4,
670,independence,,noun,general,eiken4,
671,influence,,noun,general,eiken4,
672,insect,,noun,general,eiken4,
673,inspiration,,noun,general,eiken4,
674,instrument,,noun,general,eiken4,
675,intelligence,,noun,general,eiken4,
676,interest,,noun,general,eiken4,
677,invention,,noun,general,eiken4,
678,issue,,noun,general,eiken4,
