id,en,ja,pos,theme,level,notes
1,minute,分,noun,daily,eiken5,
2,hour,時間,noun,daily,eiken5,
3,day,日,noun,daily,eiken5,
4,week,週,noun,daily,eiken5,
5,month,月,noun,daily,eiken5,
6,year,年,noun,daily,eiken5,
7,today,今日,noun,daily,eiken5,
8,weekend,週末,noun,daily,eiken5,
9,morning,朝,noun,daily,eiken5,
10,afternoon,午後,noun,daily,eiken5,
11,evening,晩,noun,daily,eiken5,
12,night,夜,noun,daily,eiken5,
13,midnight,深夜,noun,daily,eiken5,
14,birthday,誕生日,noun,daily,eiken5,
15,Monday,月曜日,noun,daily,eiken5,
16,Tuesday,火曜日,noun,daily,eiken5,
17,Wednesday,水曜日,noun,daily,eiken5,
18,Thursday,木曜日,noun,daily,eiken5,
19,Friday,金曜日,noun,daily,eiken5,
20,Saturday,土曜日,noun,daily,eiken5,
21,Sunday,日曜日,noun,daily,eiken5,
22,January,1月,noun,daily,eiken5,
23,February,2月,noun,daily,eiken5,
24,March,3月,noun,daily,eiken5,
25,April,4月,noun,daily,eiken5,
26,May,5月,noun,daily,eiken5,
27,June,6月,noun,daily,eiken5,
28,July,7月,noun,daily,eiken5,
29,August,8月,noun,daily,eiken5,
30,September,9月,noun,daily,eiken5,
31,October,10月,noun,daily,eiken5,
32,November,11月,noun,daily,eiken5,
33,December,12月,noun,daily,eiken5,
34,spring,春,noun,nature,eiken5,
35,summer,夏,noun,nature,eiken5,
36,autumn,秋,noun,nature,eiken5,
37,fall,秋,noun,nature,eiken5,
38,winter,冬,noun,nature,eiken5,
39,country,国,noun,place,eiken5,
40,place,場所,noun,place,eiken5,
41,station,駅,noun,place,eiken5,
42,airport,空港,noun,place,eiken5,
43,park,公園,noun,place,eiken5,
44,hospital,病院,noun,place,eiken5,
45,store,店,noun,place,eiken5,
46,supermarket,スーパー,noun,place,eiken5,
47,mountain,山,noun,nature,eiken5,
48,sea,海,noun,nature,eiken5,
49,restaurant,レストラン,noun,place,eiken5,
50,home,家,noun,daily,eiken5,
51,house,一軒家,noun,daily,eiken5,
52,room,部屋,noun,daily,eiken5,
53,bedroom,寝室,noun,daily,eiken5,
54,kitchen,台所,noun,daily,eiken5,
55,bathroom,お風呂,noun,daily,eiken5,
56,classroom,教室,noun,daily,eiken5,
57,gym,体育館,noun,place,eiken5,
58,sun,太陽,noun,nature,eiken5,
59,cloud,雲,noun,nature,eiken5,
60,rain,雨,noun,nature,eiken5,
61,snow,雪,noun,nature,eiken5,
62,fog,霧,noun,nature,eiken5,
63,sunshine,日差し,noun,nature,eiken5,
64,shower,にわか雨,noun,nature,eiken5,
65,sunny,晴れた,adjective,nature,eiken5,
66,cloudy,曇った,adjective,nature,eiken5,
67,rainy,雨降りの,adjective,nature,eiken5,
68,snowy,雪の降る,adjective,nature,eiken5,
69,foggy,霧の,adjective,nature,eiken5,
70,windy,風の強い,adjective,nature,eiken5,
71,boy,少年,noun,people,eiken5,
72,girl,少女,noun,people,eiken5,
73,man,男性,noun,people,eiken5,
74,woman,女性,noun,people,eiken5,
75,person,人,noun,people,eiken5,
76,friend,友だち,noun,people,eiken5,
77,parent,親,noun,people,eiken5,
78,brother,兄弟,noun,people,eiken5,
79,sister,姉妹,noun,people,eiken5,
80,grandfather,おじいさん,noun,people,eiken5,
81,grandmother,おばあさん,noun,people,eiken5,
82,cousin,いとこ,noun,people,eiken5,
83,doctor,医者,noun,people,eiken5,
84,driver,運転手,noun,people,eiken5,
85,dancer,ダンサー,noun,people,eiken5,
86,officer,警官,noun,people,eiken5,
87,pianist,ピアニスト,noun,people,eiken5,
88,pilot,パイロット,noun,people,eiken5,
89,player,選手,noun,people,eiken5,
90,singer,歌手,noun,people,eiken5,
91,waiter,ウエーター,noun,people,eiken5,
92,worker,働く人,noun,people,eiken5,
93,job,仕事,noun,people,eiken5,
94,basketball,バスケットボール,noun,people,eiken5,
95,tennis,テニス,noun,people,eiken5,
96,baseball,野球,noun,people,eiken5,
97,soccer,サッカー,noun,people,eiken5,
98,badminton,バドミントン,noun,people,eiken5,
99,surfing,サーフィン,noun,people,eiken5,
100,swimming,水泳,noun,people,eiken5,
101,marathon,マラソン,noun,people,eiken5,
102,boxing,ボクシング,noun,people,eiken5,
103,dinner,夕食,noun,daily,eiken5,
104,color,色,noun,general,eiken5,
105,family,家族,noun,people,eiken5,
106,flower,花,noun,nature,eiken5,
107,test,テスト,noun,daily,eiken5,
108,drink,飲み物,noun,daily,eiken5,
109,name,名前,noun,general,eiken5,
110,dictionary,辞書,noun,daily,eiken5,
111,passport,パスポート,noun,general,eiken5,
112,homework,宿題,noun,daily,eiken5,
113,animal,動物,noun,nature,eiken5,
114,box,箱,noun,daily,eiken5,
115,watch,腕時計,noun,daily,eiken5,
116,blackboard,黒板,noun,daily,eiken5,
117,tea,お茶,noun,daily,eiken5,
118,calendar,カレンダー,noun,daily,eiken5,
119,shoes,靴,noun,daily,eiken5,
120,umbrella,傘,noun,daily,eiken5,
121,newspaper,新聞,noun,general,eiken5,
122,window,窓,noun,daily,eiken5,
123,hair,髪,noun,daily,eiken5,
124,diary,日記,noun,daily,eiken5,
125,letter,手紙,noun,general,eiken5,
126,wall,壁,noun,daily,eiken5,
127,bird,鳥,noun,nature,eiken5,
128,doll,人形,noun,daily,eiken5,
129,grape,ぶどう,noun,nature,eiken5,
130,camera,カメラ,noun,general,eiken5,
131,mouth,口,noun,daily,eiken5,
132,coin,硬貨,noun,general,eiken5,
133,song,曲,noun,general,eiken5,
134,music,音楽,noun,general,eiken5,
135,garden,庭,noun,nature,eiken5,
136,idea,考え,noun,mind,eiken5,
137,club,クラブ,noun,people,eiken5,
138,art,芸術,noun,general,eiken5,
139,number,数,noun,general,eiken5,
140,history,歴史,noun,general,eiken5,
141,story,物語,noun,general,eiken5,
142,subject,科目,noun,daily,eiken5,
143,plane,飛行機,noun,place,eiken5,
144,bread,パン,noun,daily,eiken5,
145,dish,料理,noun,daily,eiken5,
146,tree,木,noun,nature,eiken5,
147,fish,魚,noun,nature,eiken5,
148,food,食べ物,noun,daily,eiken5,
149,fruit,果物,noun,nature,eiken5,
150,like,好きだ,verb,action,eiken5,
151,have,持っている,verb,action,eiken5,
152,go,行く,verb,action,eiken5,
153,play,遊ぶ,verb,action,eiken5,
154,want,欲しい,verb,action,eiken5,
155,eat,食べる,verb,action,eiken5,
156,read,読む,verb,action,eiken5,
157,see,見る,verb,action,eiken5,
158,make,作る,verb,action,eiken5,
159,come,来る,verb,action,eiken5,
160,study,勉強する,verb,action,eiken5,
161,get,手に入れる,verb,action,eiken5,
162,take,取る,verb,action,eiken5,
163,write,書く,verb,action,eiken5,
164,work,働く,verb,action,eiken5,
165,use,使う,verb,action,eiken5,
166,wash,洗う,verb,action,eiken5,
167,cook,料理する,verb,action,eiken5,
168,speak,話す,verb,action,eiken5,
169,run,走る,verb,action,eiken5,
170,sleep,眠る,verb,action,eiken5,
171,buy,買う,verb,action,eiken5,
172,open,開ける,verb,action,eiken5,
173,swim,泳ぐ,verb,action,eiken5,
174,listen,聴く,verb,action,eiken5,
175,look,見る,verb,action,eiken5,
176,sing,歌う,verb,action,eiken5,
177,know,知っている,verb,action,eiken5,
178,sit,座る,verb,action,eiken5,
179,clean,掃除する,verb,action,eiken5,
180,help,助ける,verb,action,eiken5,
181,meet,会う,verb,action,eiken5,
182,walk,歩く,verb,action,eiken5,
183,ski,スキーをする,verb,action,eiken5,
184,start,始める,verb,action,eiken5,
185,talk,おしゃべりする,verb,action,eiken5,
186,teach,教える,verb,action,eiken5,
187,do,する,verb,action,eiken5,
188,think,考える,verb,action,eiken5,
189,need,必要とする,verb,action,eiken5,
190,close,閉める,verb,action,eiken5,
191,give,あげる,verb,action,eiken5,
192,stop,止まる,verb,action,eiken5,
193,dance,踊る,verb,action,eiken5,
194,love,愛する,verb,action,eiken5,
195,live,住む,verb,action,eiken5,
196,stand,立つ,verb,action,eiken5,
197,wait,待つ,verb,action,eiken5,
198,put,置く,verb,action,eiken5,
199,brush,磨く,verb,action,eiken5,
200,ride,乗る,verb,action,eiken5,
201,camp,キャンプする,verb,action,eiken5,
202,learn,学ぶ,verb,action,eiken5,
203,smile,微笑む,verb,action,eiken5,
204,begin,始まる,verb,action,eiken5,
205,enjoy,楽しむ,verb,action,eiken5,
206,practice,練習する,verb,action,eiken5,
207,drive,運転する,verb,action,eiken5,
208,ask,たずねる,verb,action,eiken5,
209,tell,伝える,verb,action,eiken5,
210,fly,飛ぶ,verb,action,eiken5,
211,jump,跳ぶ,verb,action,eiken5,
212,stay,滞在する,verb,action,eiken5,
213,move,動く,verb,action,eiken5,
214,turn,曲がる,verb,action,eiken5,
215,visit,訪れる,verb,action,eiken5,
216,try,試みる,verb,action,eiken5,
217,dog,犬,noun,nature,eiken5,
218,cat,猫,noun,nature,eiken5,
219,rabbit,うさぎ,noun,nature,eiken5,
220,horse,馬,noun,nature,eiken5,
221,cow,牛,noun,nature,eiken5,
222,pig,豚,noun,nature,eiken5,
223,sheep,ひつじ,noun,nature,eiken5,
224,chicken,にわとり,noun,nature,eiken5,
225,duck,アヒル,noun,nature,eiken5,
226,mouse,ネズミ,noun,nature,eiken5,
227,elephant,象,noun,nature,eiken5,
228,lion,ライオン,noun,nature,eiken5,
229,tiger,虎,noun,nature,eiken5,
230,bear,クマ,noun,nature,eiken5,
231,monkey,サル,noun,nature,eiken5,
232,panda,パンダ,noun,nature,eiken5,
233,snake,ヘビ,noun,nature,eiken5,
234,frog,カエル,noun,nature,eiken5,
235,butterfly,チョウ,noun,nature,eiken5,
236,dolphin,イルカ,noun,nature,eiken5,
237,apple,りんご,noun,nature,eiken5,
238,banana,バナナ,noun,nature,eiken5,
239,orange,オレンジ,noun,nature,eiken5,
240,strawberry,いちご,noun,nature,eiken5,
241,peach,もも,noun,nature,eiken5,
242,watermelon,すいか,noun,nature,eiken5,
243,lemon,レモン,noun,nature,eiken5,
244,cherry,さくらんぼ,noun,nature,eiken5,
245,pineapple,パイナップル,noun,nature,eiken5,
246,melon,メロン,noun,nature,eiken5,
247,tomato,トマト,noun,nature,eiken5,
248,potato,じゃがいも,noun,nature,eiken5,
249,carrot,にんじん,noun,nature,eiken5,
250,onion,たまねぎ,noun,nature,eiken5,
251,lettuce,レタス,noun,nature,eiken5,
252,milk,牛乳,noun,daily,eiken5,
253,juice,ジュース,noun,daily,eiken5,
254,water,水,noun,daily,eiken5,
255,coffee,コーヒー,noun,daily,eiken5,
256,rice,ご飯,noun,daily,eiken5,
257,pizza,ピザ,noun,daily,eiken5,
258,hamburger,ハンバーガー,noun,daily,eiken5,
259,sandwich,サンドウィッチ,noun,daily,eiken5,
260,cake,ケーキ,noun,daily,eiken5,
261,cookie,クッキー,noun,daily,eiken5,
262,soup,スープ,noun,daily,eiken5,
263,salad,サラダ,noun,daily,eiken5,
264,egg,卵,noun,daily,eiken5,
265,meat,肉,noun,daily,eiken5,
266,cheese,チーズ,noun,daily,eiken5,
267,eye,目,noun,daily,eiken5,
268,ear,耳,noun,daily,eiken5,
269,nose,鼻,noun,daily,eiken5,
270,hand,手,noun,daily,eiken5,
271,arm,腕,noun,daily,eiken5,
272,leg,脚,noun,daily,eiken5,
273,foot,足,noun,daily,eiken5,
274,face,顔,noun,daily,eiken5,
275,head,頭,noun,daily,eiken5,
276,stomach,お腹,noun,daily,eiken5,
277,finger,指,noun,daily,eiken5,
278,knee,ひざ,noun,daily,eiken5,
279,tooth,歯,noun,daily,eiken5,
280,back,背中,noun,daily,eiken5,
281,shirt,シャツ,noun,daily,eiken5,
282,pants,ズボン,noun,daily,eiken5,
283,dress,ドレス,noun,daily,eiken5,
284,jacket,ジャケット,noun,daily,eiken5,
285,coat,コート,noun,daily,eiken5,
286,hat,帽子,noun,daily,eiken5,
287,sock,靴下,noun,daily,eiken5,
288,glove,手袋,noun,daily,eiken5,
289,sweater,セーター,noun,daily,eiken5,
290,skirt,スカート,noun,daily,eiken5,
291,jeans,ジーンズ,noun,daily,eiken5,
292,school,学校,noun,place,eiken5,
293,class,授業,noun,daily,eiken5,
294,teacher,先生,noun,people,eiken5,
295,student,生徒,noun,people,eiken5,
296,book,本,noun,daily,eiken5,
297,pen,ペン,noun,daily,eiken5,
298,pencil,鉛筆,noun,daily,eiken5,
299,eraser,消しゴム,noun,daily,eiken5,
300,bag,バッグ,noun,daily,eiken5,
301,desk,机,noun,daily,eiken5,
302,chair,椅子,noun,daily,eiken5,
303,notebook,ノート,noun,daily,eiken5,
304,lunch,昼食,noun,daily,eiken5,
305,math,数学,noun,daily,eiken5,
306,science,理科,noun,daily,eiken5,
307,English,英語,noun,general,eiken5,
308,city,都市,noun,place,eiken5,
309,town,町,noun,place,eiken5,
310,village,村,noun,place,eiken5,
311,street,通り,noun,place,eiken5,
312,road,道路,noun,place,eiken5,
313,hotel,ホテル,noun,place,eiken5,
314,beach,ビーチ,noun,nature,eiken5,
315,museum,博物館,noun,place,eiken5,
316,zoo,動物園,noun,place,eiken5,
317,cinema,映画館,noun,place,eiken5,
318,library,図書館,noun,place,eiken5,
319,pool,プール,noun,place,eiken5,
320,lake,湖,noun,nature,eiken5,
321,river,川,noun,nature,eiken5,
322,sky,空,noun,nature,eiken5,
323,star,星,noun,nature,eiken5,
324,moon,月,noun,nature,eiken5,
325,earth,地球,noun,nature,eiken5,
326,forest,森,noun,nature,eiken5,
327,island,島,noun,nature,eiken5,
328,grass,草,noun,nature,eiken5,
329,leaf,葉,noun,nature,eiken5,
330,stone,石,noun,nature,eiken5,
331,fire,火,noun,nature,eiken5,
332,ice,氷,noun,nature,eiken5,
333,air,空気,noun,nature,eiken5,
334,light,光,noun,nature,eiken5,
335,seed,種,noun,nature,eiken5,
336,rose,バラ,noun,nature,eiken5,
337,bus,バス,noun,place,eiken5,
338,train,電車,noun,place,eiken5,
339,car,車,noun,place,eiken5,
340,bike,自転車,noun,place,eiken5,
341,ship,船,noun,place,eiken5,
342,taxi,タクシー,noun,place,eiken5,
343,ticket,切符,noun,general,eiken5,
344,door,ドア,noun,daily,eiken5,
345,table,テーブル,noun,daily,eiken5,
346,bed,ベッド,noun,daily,eiken5,
347,sofa,ソファー,noun,daily,eiken5,
348,lamp,ランプ,noun,daily,eiken5,
349,clock,時計,noun,daily,eiken5,
350,phone,電話,noun,daily,eiken5,
351,computer,コンピュータ,noun,general,eiken5,
352,television,テレビ,noun,daily,eiken5,
353,radio,ラジオ,noun,daily,eiken5,
354,key,鍵,noun,daily,eiken5,
355,floor,床,noun,daily,eiken5,
356,father,父,noun,people,eiken5,
357,mother,母,noun,people,eiken5,
358,son,息子,noun,people,eiken5,
359,daughter,娘,noun,people,eiken5,
360,baby,赤ちゃん,noun,people,eiken5,
361,uncle,叔父,noun,people,eiken5,
362,aunt,叔母,noun,people,eiken5,
363,husband,夫,noun,people,eiken5,
364,wife,妻,noun,people,eiken5,
365,game,ゲーム,noun,general,eiken5,
366,sport,スポーツ,noun,people,eiken5,
367,ball,ボール,noun,general,eiken5,
368,team,チーム,noun,people,eiken5,
