id,en,ja,pos,theme,level,notes
1,abnormal,異常な,adjective,general,eiken_pre2,
2,aboard,船に乗って,adverb,general,eiken_pre2,
3,absolute,絶対的な,adjective,general,eiken_pre2,
4,absolutely,絶対に,adverb,general,eiken_pre2,
5,abstract,抽象的な,adjective,general,eiken_pre2,
6,abundant,豊富な,adjective,general,eiken_pre2,
7,accessible,利用しやすい,adjective,general,eiken_pre2,
8,accidental,偶然の,adjective,general,eiken_pre2,
9,accidentally,偶然に,adverb,general,eiken_pre2,
10,accurately,正確に,adverb,general,eiken_pre2,
11,adorable,可愛い,adjective,general,eiken_pre2,
12,afterward,その後,adverb,general,eiken_pre2,
13,afterwards,その後,adverb,general,eiken_pre2,
14,agricultural,農業の,adjective,general,eiken_pre2,
15,allergic,アレルギーの,adjective,general,eiken_pre2,
16,aloud,声に出して,adverb,general,eiken_pre2,
17,altogether,完全に,adverb,general,eiken_pre2,
18,animated,活気のある,adjective,general,eiken_pre2,
19,annually,毎年,adverb,general,eiken_pre2,
20,anxiously,心配して,adverb,general,eiken_pre2,
21,approximately,おおよそ,adverb,general,eiken_pre2,
22,aside,わきに,adverb,general,eiken_pre2,
23,backpacking,バックパック旅行,noun,general,eiken_pre2,
24,bald,禿げた,adjective,general,eiken_pre2,
25,barely,かろうじて,adverb,general,eiken_pre2,
26,beautifully,美しく,adverb,general,eiken_pre2,
27,bent,曲がった,adjective,general,eiken_pre2,
28,bilingual,バイリンガルの,adjective,general,eiken_pre2,
29,boldly,大胆に,adverb,general,eiken_pre2,
30,bound,行き先の,adjective,general,eiken_pre2,
31,brainstorming,ブレインストーミング,noun,general,eiken_pre2,
32,bravely,勇敢に,adverb,general,eiken_pre2,
33,breathless,息を切らした,adjective,general,eiken_pre2,
34,briefly,簡潔に,adverb,general,eiken_pre2,
35,brightly,明るく,adverb,general,eiken_pre2,
36,burning,燃えている,adjective,general,eiken_pre2,
37,canned,缶詰の,adjective,general,eiken_pre2,
38,carelessly,不注意に,adverb,general,eiken_pre2,
39,circular,円形の,adjective,general,eiken_pre2,
40,closely,密接に,adverb,general,eiken_pre2,
41,commonly,一般的に,adverb,general,eiken_pre2,
42,completely,完全に,adverb,general,eiken_pre2,
43,consequently,その結果,adverb,general,eiken_pre2,
44,constantly,常に,adverb,general,eiken_pre2,
45,continual,絶え間ない,adjective,general,eiken_pre2,
46,continually,絶え間なく,adverb,general,eiken_pre2,
47,continuous,続く,adjective,general,eiken_pre2,
48,continuously,続けて,adverb,general,eiken_pre2,
49,contrary,反対の,adjective,general,eiken_pre2,
50,curiously,好奇心を持って,adverb,general,eiken_pre2,
51,curly,カールした,adjective,general,eiken_pre2,
52,currently,現在,adverb,general,eiken_pre2,
53,dangerously,危険なほど,adverb,general,eiken_pre2,
54,daze,茫然,noun,general,eiken_pre2,
55,definitely,確かに,adverb,general,eiken_pre2,
56,devastating,壊滅的な,adjective,general,eiken_pre2,
57,directly,直接に,adverb,general,eiken_pre2,
58,disabled,障害のある,adjective,general,eiken_pre2,
59,disastrous,惨事の,adjective,general,eiken_pre2,
60,divine,神聖な,adjective,general,eiken_pre2,
61,divorced,離婚した,adjective,general,eiken_pre2,
62,dusty,埃っぽい,adjective,general,eiken_pre2,
63,earnest,熱心な,adjective,general,eiken_pre2,
64,eastern,東の,adjective,general,eiken_pre2,
65,ecological,生態学的な,adjective,general,eiken_pre2,
66,economic,経済の,adjective,general,eiken_pre2,
